コード,Cluster_From,Cluster_To,Period
3607,0,0,2014-2015
3608,2,3,2014-2015
3622,4,4,2014-2015
3623,4,4,2014-2015
3624,4,1,2014-2015
3625,4,0,2014-2015
3626,3,3,2014-2015
3627,4,1,2014-2015
3628,1,4,2014-2015
3632,2,2,2014-2015
3633,4,1,2014-2015
3634,1,1,2014-2015
3635,2,2,2014-2015
3636,2,2,2014-2015
3639,4,4,2014-2015
3640,0,0,2014-2015
3641,4,4,2014-2015
3645,4,4,2014-2015
3646,4,4,2014-2015
3647,1,1,2014-2015
3648,4,4,2014-2015
3649,4,4,2014-2015
3653,4,4,2014-2015
3655,4,4,2014-2015
3656,0,4,2014-2015
3657,4,4,2014-2015
3659,2,2,2014-2015
3660,4,4,2014-2015
3661,4,4,2014-2015
3662,4,4,2014-2015
3663,4,4,2014-2015
3664,0,1,2014-2015
3665,4,4,2014-2015
3667,4,1,2014-2015
3668,2,2,2014-2015
3670,4,4,2014-2015
3671,0,0,2014-2015
3672,1,1,2014-2015
3674,4,0,2014-2015
3675,0,0,2014-2015
3676,0,0,2014-2015
3678,4,4,2014-2015
3679,4,0,2014-2015
3681,0,0,2014-2015
3682,4,4,2014-2015
3683,0,0,2014-2015
3686,1,1,2014-2015
3687,4,4,2014-2015
3688,0,0,2014-2015
3690,4,4,2014-2015
3691,4,0,2014-2015
3692,4,4,2014-2015
3694,4,4,2014-2015
3695,4,4,2014-2015
3696,4,4,2014-2015
3697,4,4,2014-2015
3698,4,4,2014-2015
3708,3,3,2014-2015
3710,4,4,2014-2015
3712,4,4,2014-2015
3719,1,1,2014-2015
3723,4,4,2014-2015
3726,1,1,2014-2015
3727,1,1,2014-2015
3733,4,4,2014-2015
3741,4,4,2014-2015
3744,4,1,2014-2015
3747,1,1,2014-2015
3750,4,4,2014-2015
3753,1,1,2014-2015
3758,1,1,2014-2015
3760,1,1,2014-2015
3762,2,2,2014-2015
3763,4,4,2014-2015
3765,2,2,2014-2015
3766,4,4,2014-2015
3768,4,4,2014-2015
3769,2,2,2014-2015
3771,0,4,2014-2015
3773,1,1,2014-2015
3776,0,0,2014-2015
3777,1,1,2014-2015
3778,0,0,2014-2015
3779,1,1,2014-2015
3787,1,1,2014-2015
3788,0,4,2014-2015
3791,4,0,2014-2015
3793,1,0,2014-2015
3796,4,4,2014-2015
3798,4,4,2014-2015
3799,4,0,2014-2015
3800,4,4,2014-2015
3802,4,4,2014-2015
3803,1,1,2014-2015
3804,4,4,2014-2015
3807,0,1,2014-2015
3810,0,1,2014-2015
3815,4,4,2014-2015
3816,4,4,2014-2015
3817,2,2,2014-2015
3825,1,4,2014-2015
3826,4,1,2014-2015
3834,4,4,2014-2015
3835,4,4,2014-2015
3836,4,4,2014-2015
3837,4,4,2014-2015
3839,4,0,2014-2015
3840,1,1,2014-2015
3841,4,4,2014-2015
3843,0,0,2014-2015
3844,4,4,2014-2015
3845,1,1,2014-2015
3847,4,4,2014-2015
3848,4,4,2014-2015
3850,4,4,2014-2015
3851,4,4,2014-2015
3853,4,0,2014-2015
3854,4,4,2014-2015
3856,1,0,2014-2015
3858,1,1,2014-2015
3861,3,3,2014-2015
3863,3,3,2014-2015
3864,3,3,2014-2015
3865,3,3,2014-2015
3877,3,3,2014-2015
3878,0,0,2014-2015
3880,3,3,2014-2015
3891,0,0,2014-2015
3892,4,4,2014-2015
3895,4,0,2014-2015
3896,0,0,2014-2015
3900,1,1,2014-2015
3901,4,4,2014-2015
3902,4,4,2014-2015
3903,1,0,2014-2015
3904,0,4,2014-2015
3905,4,4,2014-2015
3907,0,0,2014-2015
3908,4,4,2014-2015
3909,4,4,2014-2015
3910,4,4,2014-2015
3911,1,4,2014-2015
3913,4,4,2014-2015
3914,1,4,2014-2015
3915,1,0,2014-2015
3916,4,4,2014-2015
3917,4,4,2014-2015
3918,4,4,2014-2015
3920,4,4,2014-2015
3921,4,4,2014-2015
3922,4,4,2014-2015
3923,4,4,2014-2015
3924,4,4,2014-2015
3925,4,4,2014-2015
3927,4,4,2014-2015
3928,1,0,2014-2015
3929,1,0,2014-2015
3930,4,4,2014-2015
3931,1,1,2014-2015
3932,0,4,2014-2015
3934,1,4,2014-2015
3935,1,1,2014-2015
3937,1,1,2014-2015
3939,4,4,2014-2015
3941,3,3,2014-2015
3943,0,0,2014-2015
3944,0,0,2014-2015
3945,0,1,2014-2015
3946,3,3,2014-2015
3947,0,0,2014-2015
3948,4,4,2014-2015
3950,2,2,2014-2015
3951,0,0,2014-2015
3953,4,4,2014-2015
3954,0,0,2014-2015
3955,0,0,2014-2015
3962,4,4,2014-2015
3964,4,2,2014-2015
3965,0,0,2014-2015
3968,0,4,2014-2015
3974,4,4,2014-2015
3976,1,1,2014-2015
4004,3,3,2014-2015
4005,3,3,2014-2015
4008,3,3,2014-2015
4021,3,3,2014-2015
4022,0,0,2014-2015
4023,3,3,2014-2015
4025,0,0,2014-2015
4026,0,0,2014-2015
4027,2,2,2014-2015
4028,3,0,2014-2015
4031,0,0,2014-2015
4041,3,3,2014-2015
4042,3,3,2014-2015
4043,3,3,2014-2015
4044,3,3,2014-2015
4045,3,3,2014-2015
4046,3,3,2014-2015
4047,0,0,2014-2015
4061,3,3,2014-2015
4062,3,3,2014-2015
4063,3,3,2014-2015
4064,0,0,2014-2015
4078,3,3,2014-2015
4080,1,1,2014-2015
4082,2,0,2014-2015
4088,3,3,2014-2015
4091,3,3,2014-2015
4092,0,0,2014-2015
4093,0,0,2014-2015
4094,2,2,2014-2015
4095,3,3,2014-2015
4097,3,3,2014-2015
4098,1,0,2014-2015
4099,2,2,2014-2015
4100,0,0,2014-2015
4102,0,0,2014-2015
4107,2,2,2014-2015
4109,0,0,2014-2015
4112,0,0,2014-2015
4113,0,0,2014-2015
4114,3,3,2014-2015
4116,3,3,2014-2015
4118,3,3,2014-2015
4119,0,0,2014-2015
4120,0,0,2014-2015
4151,2,2,2014-2015
4182,3,3,2014-2015
4183,3,3,2014-2015
4186,2,2,2014-2015
4187,0,2,2014-2015
4188,3,3,2014-2015
4189,3,3,2014-2015
4202,3,3,2014-2015
4203,3,3,2014-2015
4204,3,3,2014-2015
4205,2,2,2014-2015
4206,3,3,2014-2015
4208,3,3,2014-2015
4212,2,2,2014-2015
4216,2,2,2014-2015
4218,2,2,2014-2015
4220,3,3,2014-2015
4221,3,3,2014-2015
4222,0,1,2014-2015
4224,2,2,2014-2015
4228,3,3,2014-2015
4229,2,2,2014-2015
4231,0,2,2014-2015
4234,0,0,2014-2015
4235,4,4,2014-2015
4237,0,0,2014-2015
4238,4,2,2014-2015
4241,0,0,2014-2015
4242,0,0,2014-2015
4243,0,0,2014-2015
4245,0,0,2014-2015
4246,3,3,2014-2015
4247,4,4,2014-2015
4248,0,4,2014-2015
4272,3,3,2014-2015
4274,4,4,2014-2015
4275,0,0,2014-2015
4284,0,0,2014-2015
4286,4,4,2014-2015
4287,4,4,2014-2015
4288,4,1,2014-2015
4290,2,0,2014-2015
4293,2,2,2014-2015
4299,4,4,2014-2015
4301,2,2,2014-2015
4307,2,3,2014-2015
4308,4,4,2014-2015
4310,4,4,2014-2015
4316,1,4,2014-2015
4317,0,0,2014-2015
4318,0,4,2014-2015
4319,0,0,2014-2015
4320,4,4,2014-2015
4323,4,4,2014-2015
4326,0,2,2014-2015
4331,0,0,2014-2015
4333,4,4,2014-2015
4334,4,4,2014-2015
4335,4,1,2014-2015
4337,0,0,2014-2015
4341,4,4,2014-2015
4343,2,2,2014-2015
4344,0,4,2014-2015
4345,4,4,2014-2015
4346,0,4,2014-2015
4347,1,1,2014-2015
4350,0,0,2014-2015
4351,1,0,2014-2015
4361,0,0,2014-2015
4362,2,2,2014-2015
4365,2,2,2014-2015
4366,4,0,2014-2015
4367,4,4,2014-2015
4368,2,2,2014-2015
4369,0,0,2014-2015
4401,3,3,2014-2015
4403,3,3,2014-2015
4404,0,0,2014-2015
4406,0,0,2014-2015
4409,0,0,2014-2015
4410,0,0,2014-2015
4452,3,3,2014-2015
4461,0,0,2014-2015
4462,4,4,2014-2015
4463,0,0,2014-2015
4464,2,2,2014-2015
4465,4,4,2014-2015
4471,3,3,2014-2015
4506,3,2,2014-2015
4507,2,2,2014-2015
4512,4,4,2014-2015
4516,2,2,2014-2015
4521,2,2,2014-2015
4524,0,4,2014-2015
4526,3,3,2014-2015
4527,3,3,2014-2015
4530,3,3,2014-2015
4531,0,0,2014-2015
4534,2,2,2014-2015
4536,2,2,2014-2015
4538,3,0,2014-2015
4539,0,0,2014-2015
4540,2,3,2014-2015
4543,3,3,2014-2015
4544,2,2,2014-2015
4547,2,3,2014-2015
4548,2,2,2014-2015
4549,2,2,2014-2015
4552,0,0,2014-2015
4553,0,0,2014-2015
4554,0,2,2014-2015
4556,0,0,2014-2015
4558,0,0,2014-2015
4559,3,2,2014-2015
4563,1,1,2014-2015
4564,1,1,2014-2015
4569,2,3,2014-2015
4570,1,1,2014-2015
4571,1,1,2014-2015
4572,1,4,2014-2015
4574,4,4,2014-2015
4575,1,1,2014-2015
4576,1,1,2014-2015
4577,0,0,2014-2015
4578,3,3,2014-2015
4579,1,1,2014-2015
4582,1,1,2014-2015
4583,1,1,2014-2015
4584,1,1,2014-2015
4586,1,1,2014-2015
4587,4,4,2014-2015
4588,1,1,2014-2015
4591,1,4,2014-2015
4593,1,1,2014-2015
4595,0,0,2014-2015
4611,0,0,2014-2015
4612,3,3,2014-2015
4613,3,3,2014-2015
4615,0,0,2014-2015
4616,0,0,2014-2015
4617,3,3,2014-2015
4619,0,0,2014-2015
4620,2,2,2014-2015
4623,0,0,2014-2015
4624,4,4,2014-2015
4625,0,0,2014-2015
4626,0,3,2014-2015
4627,4,2,2014-2015
4628,2,2,2014-2015
4629,0,2,2014-2015
4631,3,3,2014-2015
4633,3,3,2014-2015
4634,3,3,2014-2015
4635,0,0,2014-2015
4641,2,2,2014-2015
4642,4,4,2014-2015
4644,4,4,2014-2015
4645,0,0,2014-2015
4650,1,0,2014-2015
4651,0,1,2014-2015
4657,1,1,2014-2015
4658,0,0,2014-2015
4659,4,2,2014-2015
4661,2,2,2014-2015
4662,0,0,2014-2015
4664,0,0,2014-2015
4665,2,2,2014-2015
4666,3,3,2014-2015
4667,4,4,2014-2015
4668,2,2,2014-2015
4671,2,2,2014-2015
4673,0,0,2014-2015
4674,0,0,2014-2015
4676,3,3,2014-2015
4678,0,1,2014-2015
4679,0,1,2014-2015
4680,3,3,2014-2015
4681,3,3,2014-2015
4684,2,2,2014-2015
4685,4,4,2014-2015
4686,4,2,2014-2015
4687,4,2,2014-2015
4690,0,0,2014-2015
4694,2,2,2014-2015
4704,2,2,2014-2015
4705,4,4,2014-2015
4707,0,0,2014-2015
4709,0,0,2014-2015
4712,0,0,2014-2015
4714,1,4,2014-2015
4716,2,2,2014-2015
4718,4,4,2014-2015
4719,2,2,2014-2015
4720,4,4,2014-2015
4722,2,2,2014-2015
4725,2,0,2014-2015
4728,4,4,2014-2015
4732,2,2,2014-2015
4733,2,2,2014-2015
4735,0,0,2014-2015
4736,4,1,2014-2015
4743,4,4,2014-2015
4745,4,4,2014-2015
4746,4,4,2014-2015
4750,4,4,2014-2015
4751,2,3,2014-2015
4752,4,4,2014-2015
4754,0,0,2014-2015
4760,0,0,2014-2015
4761,2,2,2014-2015
4762,4,4,2014-2015
4763,0,0,2014-2015
4765,4,4,2014-2015
4766,1,0,2014-2015
4767,4,4,2014-2015
4768,3,3,2014-2015
4769,4,4,2014-2015
4771,4,4,2014-2015
4772,1,1,2014-2015
4776,4,4,2014-2015
4777,1,1,2014-2015
4783,0,0,2014-2015
4784,4,4,2014-2015
4792,4,4,2014-2015
4800,0,0,2014-2015
4801,0,2,2014-2015
4809,0,0,2014-2015
4812,2,2,2014-2015
4813,4,1,2014-2015
4814,1,1,2014-2015
4816,2,2,2014-2015
4819,0,3,2014-2015
4820,0,2,2014-2015
4825,4,4,2014-2015
4826,2,2,2014-2015
4828,0,4,2014-2015
4829,4,4,2014-2015
4832,4,2,2014-2015
4833,0,1,2014-2015
4838,4,4,2014-2015
4839,2,2,2014-2015
4840,4,1,2014-2015
4845,4,4,2014-2015
4847,4,4,2014-2015
4848,2,2,2014-2015
4849,2,2,2014-2015
4902,3,3,2014-2015
4911,3,3,2014-2015
4912,3,3,2014-2015
4914,3,3,2014-2015
4917,2,2,2014-2015
4918,4,4,2014-2015
4919,2,2,2014-2015
4920,0,0,2014-2015
4922,2,2,2014-2015
4923,4,4,2014-2015
4925,0,0,2014-2015
4926,4,4,2014-2015
4927,2,2,2014-2015
4928,2,2,2014-2015
4929,4,4,2014-2015
4951,2,2,2014-2015
4956,2,2,2014-2015
4957,0,2,2014-2015
4958,2,2,2014-2015
4960,0,0,2014-2015
4966,2,2,2014-2015
4967,2,2,2014-2015
4968,3,3,2014-2015
4970,0,0,2014-2015
4971,4,4,2014-2015
4972,0,0,2014-2015
4973,4,4,2014-2015
4974,2,2,2014-2015
4975,0,0,2014-2015
4976,0,4,2014-2015
4977,0,0,2014-2015
4978,1,1,2014-2015
4979,0,0,2014-2015
4980,2,2,2014-2015
4985,3,3,2014-2015
4990,0,0,2014-2015
4992,0,0,2014-2015
4994,0,2,2014-2015
4996,2,0,2014-2015
4997,2,0,2014-2015
4998,0,0,2014-2015
5010,0,0,2014-2015
5011,2,2,2014-2015
5013,0,2,2014-2015
5015,4,4,2014-2015
5017,1,0,2014-2015
5018,0,0,2014-2015
5019,3,3,2014-2015
5020,3,3,2014-2015
5101,3,3,2014-2015
5103,1,0,2014-2015
5105,3,3,2014-2015
5108,3,3,2014-2015
5110,3,3,2014-2015
5121,0,0,2014-2015
5122,3,3,2014-2015
5142,3,2,2014-2015
5161,3,3,2014-2015
5162,0,0,2014-2015
5184,0,2,2014-2015
5185,3,0,2014-2015
5186,2,2,2014-2015
5187,2,0,2014-2015
5189,0,0,2014-2015
5191,3,3,2014-2015
5192,3,3,2014-2015
5194,4,0,2014-2015
5195,3,3,2014-2015
5199,0,0,2014-2015
5204,0,0,2014-2015
5208,2,2,2014-2015
5210,0,2,2014-2015
5214,3,3,2014-2015
5216,1,1,2014-2015
5218,0,2,2014-2015
5232,3,3,2014-2015
5233,3,3,2014-2015
5237,0,2,2014-2015
5261,0,0,2014-2015
5262,2,2,2014-2015
5268,4,4,2014-2015
5269,0,0,2014-2015
5271,0,0,2014-2015
5273,2,2,2014-2015
5279,0,0,2014-2015
5280,0,0,2014-2015
5282,4,1,2014-2015
5283,0,0,2014-2015
5284,0,0,2014-2015
5285,0,0,2014-2015
5287,4,4,2014-2015
5288,0,3,2014-2015
5301,3,2,2014-2015
5302,0,0,2014-2015
5304,4,2,2014-2015
5310,2,2,2014-2015
5331,3,3,2014-2015
5332,3,3,2014-2015
5333,3,3,2014-2015
5334,3,3,2014-2015
5337,1,1,2014-2015
5341,4,1,2014-2015
5344,2,2,2014-2015
5351,3,3,2014-2015
5352,3,3,2014-2015
5355,0,0,2014-2015
5356,0,4,2014-2015
5357,4,2,2014-2015
5363,2,2,2014-2015
5367,0,0,2014-2015
5380,0,0,2014-2015
5381,4,0,2014-2015
5384,2,2,2014-2015
5386,4,0,2014-2015
5388,4,4,2014-2015
5391,0,0,2014-2015
5393,3,3,2014-2015
5401,3,3,2014-2015
5406,3,3,2014-2015
5408,3,3,2014-2015
5410,1,3,2014-2015
5411,3,3,2014-2015
5423,2,2,2014-2015
5440,3,3,2014-2015
5444,2,2,2014-2015
5445,2,2,2014-2015
5446,1,0,2014-2015
5449,2,2,2014-2015
5451,2,2,2014-2015
5458,1,0,2014-2015
5461,2,2,2014-2015
5463,3,3,2014-2015
5464,0,0,2014-2015
5471,3,3,2014-2015
5476,1,0,2014-2015
5480,0,0,2014-2015
5482,3,3,2014-2015
5484,4,2,2014-2015
5491,0,0,2014-2015
5541,2,2,2014-2015
5542,0,0,2014-2015
5563,0,3,2014-2015
5602,3,3,2014-2015
5603,0,0,2014-2015
5609,0,0,2014-2015
5612,0,0,2014-2015
5631,3,3,2014-2015
5632,3,3,2014-2015
5644,0,0,2014-2015
5658,0,0,2014-2015
5659,2,2,2014-2015
5660,0,0,2014-2015
5695,4,4,2014-2015
5697,0,0,2014-2015
5698,0,0,2014-2015
5702,0,0,2014-2015
5703,3,3,2014-2015
5704,4,4,2014-2015
5706,3,3,2014-2015
5707,3,3,2014-2015
5711,3,3,2014-2015
5713,3,3,2014-2015
5714,3,3,2014-2015
5715,3,3,2014-2015
5721,1,1,2014-2015
5724,1,0,2014-2015
5726,0,0,2014-2015
5727,0,0,2014-2015
5729,0,0,2014-2015
5741,3,3,2014-2015
5742,4,4,2014-2015
5753,0,1,2014-2015
5757,0,0,2014-2015
5801,3,3,2014-2015
5802,3,3,2014-2015
5803,3,3,2014-2015
5805,0,0,2014-2015
5816,0,0,2014-2015
5817,4,4,2014-2015
5819,4,4,2014-2015
5820,0,0,2014-2015
5821,0,0,2014-2015
5851,3,3,2014-2015
5852,3,3,2014-2015
5856,1,0,2014-2015
5857,2,3,2014-2015
5900,4,4,2014-2015
5901,3,3,2014-2015
5902,3,0,2014-2015
5903,4,4,2014-2015
5905,0,0,2014-2015
5906,0,0,2014-2015
5909,2,2,2014-2015
5911,2,0,2014-2015
5915,0,0,2014-2015
5918,2,2,2014-2015
5921,1,4,2014-2015
5922,0,0,2014-2015
5923,1,4,2014-2015
5928,4,4,2014-2015
5929,3,3,2014-2015
5930,3,3,2014-2015
5932,3,3,2014-2015
5933,0,0,2014-2015
5936,0,0,2014-2015
5938,3,3,2014-2015
5939,0,4,2014-2015
5940,3,3,2014-2015
5941,0,0,2014-2015
5942,0,0,2014-2015
5943,2,2,2014-2015
5945,4,4,2014-2015
5946,2,2,2014-2015
5947,2,2,2014-2015
5949,3,3,2014-2015
5950,0,1,2014-2015
5951,2,2,2014-2015
5952,0,0,2014-2015
5955,4,0,2014-2015
5956,0,0,2014-2015
5957,0,0,2014-2015
5958,0,0,2014-2015
5959,3,3,2014-2015
5962,0,0,2014-2015
5965,0,0,2014-2015
5966,4,4,2014-2015
5967,0,0,2014-2015
5969,0,0,2014-2015
5970,3,3,2014-2015
5971,4,4,2014-2015
5973,0,4,2014-2015
5974,0,0,2014-2015
5975,2,3,2014-2015
5976,0,2,2014-2015
5981,0,3,2014-2015
5982,2,2,2014-2015
5983,0,2,2014-2015
5984,4,2,2014-2015
5985,2,2,2014-2015
5986,0,0,2014-2015
5987,0,0,2014-2015
5988,2,2,2014-2015
5989,3,3,2014-2015
5990,0,0,2014-2015
5991,3,3,2014-2015
5992,3,3,2014-2015
5994,0,0,2014-2015
5997,0,4,2014-2015
5998,0,0,2014-2015
6005,2,2,2014-2015
6013,3,3,2014-2015
6016,1,1,2014-2015
6018,4,4,2014-2015
6022,0,0,2014-2015
6023,3,3,2014-2015
6027,1,4,2014-2015
6029,1,0,2014-2015
6030,1,1,2014-2015
6031,1,4,2014-2015
6033,4,4,2014-2015
6036,0,4,2014-2015
6038,4,0,2014-2015
6039,0,0,2014-2015
6040,4,4,2014-2015
6042,0,0,2014-2015
6044,0,0,2014-2015
6047,1,4,2014-2015
6049,4,4,2014-2015
6050,4,4,2014-2015
6054,4,4,2014-2015
6055,4,4,2014-2015
6058,4,4,2014-2015
6059,0,0,2014-2015
6060,0,0,2014-2015
6061,4,4,2014-2015
6062,0,0,2014-2015
6063,1,0,2014-2015
6069,4,4,2014-2015
6070,0,0,2014-2015
6071,0,0,2014-2015
6072,4,4,2014-2015
6073,2,0,2014-2015
6074,0,0,2014-2015
6078,0,0,2014-2015
6080,4,4,2014-2015
6081,4,1,2014-2015
6082,0,0,2014-2015
6083,4,4,2014-2015
6085,4,4,2014-2015
6086,4,4,2014-2015
6087,4,4,2014-2015
6088,4,1,2014-2015
6089,0,4,2014-2015
6090,1,1,2014-2015
6091,4,4,2014-2015
6092,0,0,2014-2015
6094,4,0,2014-2015
6096,1,4,2014-2015
6098,3,3,2014-2015
6099,4,4,2014-2015
6101,0,2,2014-2015
6103,3,2,2014-2015
6104,3,3,2014-2015
6113,3,3,2014-2015
6118,3,3,2014-2015
6125,0,0,2014-2015
6134,2,2,2014-2015
6135,3,3,2014-2015
6136,3,3,2014-2015
6137,0,0,2014-2015
6138,0,0,2014-2015
6140,2,2,2014-2015
6143,3,3,2014-2015
6144,2,2,2014-2015
6145,4,2,2014-2015
6146,2,2,2014-2015
6147,0,0,2014-2015
6149,1,4,2014-2015
6150,0,0,2014-2015
6151,2,2,2014-2015
6155,0,0,2014-2015
6156,4,4,2014-2015
6157,4,4,2014-2015
6158,4,0,2014-2015
6159,4,4,2014-2015
6161,4,4,2014-2015
6165,0,0,2014-2015
6166,1,0,2014-2015
6167,2,2,2014-2015
6171,4,4,2014-2015
6177,0,0,2014-2015
6180,4,4,2014-2015
6181,1,0,2014-2015
6182,4,4,2014-2015
6184,1,1,2014-2015
6185,1,4,2014-2015
6186,0,0,2014-2015
6191,1,4,2014-2015
6193,1,1,2014-2015
6194,4,4,2014-2015
6195,1,4,2014-2015
6196,4,4,2014-2015
6197,2,0,2014-2015
6198,4,0,2014-2015
6199,4,4,2014-2015
6200,4,4,2014-2015
6201,3,3,2014-2015
6203,0,0,2014-2015
6208,0,1,2014-2015
6210,2,2,2014-2015
6217,1,1,2014-2015
6218,0,1,2014-2015
6222,2,2,2014-2015
6237,0,0,2014-2015
6238,4,2,2014-2015
6239,0,0,2014-2015
6240,0,4,2014-2015
6245,2,2,2014-2015
6246,4,4,2014-2015
6247,2,2,2014-2015
6248,4,4,2014-2015
6249,2,2,2014-2015
6250,3,0,2014-2015
6254,4,1,2014-2015
6255,4,4,2014-2015
6257,2,2,2014-2015
6258,0,3,2014-2015
6262,0,0,2014-2015
6264,4,4,2014-2015
6265,4,4,2014-2015
6266,1,0,2014-2015
6267,4,4,2014-2015
6268,3,2,2014-2015
6269,3,3,2014-2015
6272,0,0,2014-2015
6273,3,3,2014-2015
6276,4,4,2014-2015
6277,2,2,2014-2015
6278,2,2,2014-2015
6279,2,2,2014-2015
6282,2,2,2014-2015
6284,0,0,2014-2015
6286,0,0,2014-2015
6287,3,3,2014-2015
6289,0,0,2014-2015
6291,0,0,2014-2015
6292,0,0,2014-2015
6293,0,0,2014-2015
6294,0,0,2014-2015
6297,0,0,2014-2015
6298,0,0,2014-2015
6302,3,3,2014-2015
6305,3,3,2014-2015
6306,2,2,2014-2015
6307,1,0,2014-2015
6309,2,2,2014-2015
6310,3,3,2014-2015
6312,4,4,2014-2015
6315,0,0,2014-2015
6316,0,0,2014-2015
6317,0,0,2014-2015
6322,0,0,2014-2015
6323,0,0,2014-2015
6324,2,2,2014-2015
6325,4,4,2014-2015
6327,1,0,2014-2015
6328,0,0,2014-2015
6330,3,1,2014-2015
6331,1,2,2014-2015
6332,2,3,2014-2015
6333,2,2,2014-2015
6334,1,1,2014-2015
6335,1,1,2014-2015
6336,1,1,2014-2015
6337,1,4,2014-2015
6338,1,1,2014-2015
6339,3,3,2014-2015
6340,3,3,2014-2015
6342,1,0,2014-2015
6343,0,0,2014-2015
6345,2,2,2014-2015
6346,4,4,2014-2015
6347,1,1,2014-2015
6349,2,3,2014-2015
6351,2,2,2014-2015
6356,4,4,2014-2015
6357,2,0,2014-2015
6358,0,0,2014-2015
6360,0,0,2014-2015
6361,3,3,2014-2015
6363,1,0,2014-2015
6364,0,0,2014-2015
6365,4,2,2014-2015
6366,3,3,2014-2015
6367,3,3,2014-2015
6368,3,0,2014-2015
6369,3,0,2014-2015
6370,2,2,2014-2015
6371,3,3,2014-2015
6373,0,0,2014-2015
6376,3,3,2014-2015
6378,0,0,2014-2015
6379,3,2,2014-2015
6380,0,0,2014-2015
6381,2,2,2014-2015
6382,2,2,2014-2015
6383,3,3,2014-2015
6384,1,0,2014-2015
6387,4,4,2014-2015
6390,3,3,2014-2015
6391,4,4,2014-2015
6392,0,0,2014-2015
6393,0,0,2014-2015
6395,3,3,2014-2015
6396,4,1,2014-2015
6400,0,0,2014-2015
6402,4,4,2014-2015
6403,4,4,2014-2015
6405,4,4,2014-2015
6406,3,3,2014-2015
6407,3,3,2014-2015
6408,0,0,2014-2015
6412,3,3,2014-2015
6413,2,2,2014-2015
6416,4,4,2014-2015
6417,2,2,2014-2015
6418,2,2,2014-2015
6419,2,2,2014-2015
6420,2,2,2014-2015
6424,0,0,2014-2015
6425,2,2,2014-2015
6428,0,0,2014-2015
6430,2,2,2014-2015
6432,2,2,2014-2015
6433,1,4,2014-2015
6436,2,2,2014-2015
6440,3,3,2014-2015
6444,3,3,2014-2015
6445,2,2,2014-2015
6448,3,3,2014-2015
6454,2,2,2014-2015
6455,0,2,2014-2015
6457,3,3,2014-2015
6458,0,0,2014-2015
6459,2,2,2014-2015
6460,3,3,2014-2015
6463,3,3,2014-2015
6465,2,2,2014-2015
6466,1,0,2014-2015
6467,0,0,2014-2015
6469,0,0,2014-2015
6470,3,3,2014-2015
6471,2,2,2014-2015
6472,3,3,2014-2015
6473,3,3,2014-2015
6474,3,3,2014-2015
6479,3,3,2014-2015
6480,0,2,2014-2015
6481,2,3,2014-2015
6482,2,2,2014-2015
6484,4,2,2014-2015
6485,2,2,2014-2015
6486,3,3,2014-2015
6488,4,4,2014-2015
6489,0,2,2014-2015
6490,2,2,2014-2015
6492,4,4,2014-2015
6493,0,0,2014-2015
6494,4,4,2014-2015
6495,1,1,2014-2015
6496,4,2,2014-2015
6497,4,4,2014-2015
6498,3,3,2014-2015
6504,3,3,2014-2015
6505,0,0,2014-2015
6506,3,3,2014-2015
6507,3,3,2014-2015
6508,3,3,2014-2015
6513,0,0,2014-2015
6516,3,3,2014-2015
6517,2,2,2014-2015
6518,0,0,2014-2015
6533,1,1,2014-2015
6537,1,4,2014-2015
6540,4,2,2014-2015
6584,3,3,2014-2015
6588,3,3,2014-2015
6590,0,0,2014-2015
6592,2,2,2014-2015
6615,0,0,2014-2015
6616,4,4,2014-2015
6617,3,3,2014-2015
6619,4,0,2014-2015
6620,1,1,2014-2015
6622,3,3,2014-2015
6625,1,1,2014-2015
6626,0,0,2014-2015
6627,4,0,2014-2015
6629,1,0,2014-2015
6630,0,4,2014-2015
6632,3,3,2014-2015
6633,4,4,2014-2015
6634,0,1,2014-2015
6635,0,0,2014-2015
6637,0,0,2014-2015
6638,0,0,2014-2015
6643,0,0,2014-2015
6644,3,3,2014-2015
6647,0,0,2014-2015
6648,0,0,2014-2015
6651,2,2,2014-2015
6652,2,2,2014-2015
6653,0,0,2014-2015
6654,4,4,2014-2015
6656,1,1,2014-2015
6658,0,0,2014-2015
6659,0,0,2014-2015
6662,4,4,2014-2015
6663,1,1,2014-2015
6664,0,0,2014-2015
6666,1,1,2014-2015
6668,0,0,2014-2015
6670,3,3,2014-2015
6674,3,3,2014-2015
6675,0,0,2014-2015
6676,2,2,2014-2015
6677,2,2,2014-2015
6678,4,4,2014-2015
6694,4,4,2014-2015
6701,3,3,2014-2015
6703,3,3,2014-2015
6706,2,2,2014-2015
6707,3,3,2014-2015
6718,2,2,2014-2015
6721,1,1,2014-2015
6723,3,3,2014-2015
6727,2,2,2014-2015
6728,3,3,2014-2015
6730,4,2,2014-2015
6731,1,1,2014-2015
6734,0,4,2014-2015
6736,2,0,2014-2015
6737,2,2,2014-2015
6740,3,3,2014-2015
6741,2,2,2014-2015
6742,3,0,2014-2015
6743,0,0,2014-2015
6744,2,2,2014-2015
6745,0,0,2014-2015
6748,0,0,2014-2015
6750,2,2,2014-2015
6753,3,3,2014-2015
6757,0,0,2014-2015
6763,2,2,2014-2015
6768,3,3,2014-2015
6769,4,4,2014-2015
6770,3,3,2014-2015
6771,0,0,2014-2015
6772,0,0,2014-2015
6775,1,1,2014-2015
6776,0,0,2014-2015
6777,4,4,2014-2015
