コード,Cluster_From,Cluster_To,Period
2371,4,2,2010-2011
2373,0,0,2010-2011
2374,0,0,2010-2011
2375,1,0,2010-2011
2376,4,4,2010-2011
2378,0,0,2010-2011
2379,4,4,2010-2011
2384,3,3,2010-2011
2385,1,1,2010-2011
2388,1,0,2010-2011
2389,2,2,2010-2011
2391,4,4,2010-2011
2393,4,4,2010-2011
2395,0,1,2010-2011
2404,0,0,2010-2011
2408,4,4,2010-2011
2410,1,4,2010-2011
2411,4,0,2010-2011
2413,4,2,2010-2011
2415,0,0,2010-2011
2418,0,0,2010-2011
2425,4,0,2010-2011
2429,0,0,2010-2011
2432,2,2,2010-2011
2433,3,3,2010-2011
2435,0,0,2010-2011
2436,4,4,2010-2011
2437,1,1,2010-2011
2438,4,4,2010-2011
2440,4,0,2010-2011
2445,0,0,2010-2011
2449,4,4,2010-2011
2459,4,1,2010-2011
2462,4,4,2010-2011
2464,4,4,2010-2011
2469,1,0,2010-2011
2471,1,4,2010-2011
2475,4,4,2010-2011
2479,1,1,2010-2011
2480,4,1,2010-2011
2481,4,4,2010-2011
2483,4,4,2010-2011
2484,4,4,2010-2011
2485,0,0,2010-2011
2488,4,4,2010-2011
2489,4,4,2010-2011
2491,4,4,2010-2011
2492,4,4,2010-2011
2493,1,0,2010-2011
2497,0,4,2010-2011
2498,0,0,2010-2011
2499,0,0,2010-2011
2501,3,3,2010-2011
2502,3,3,2010-2011
2503,3,3,2010-2011
2531,3,3,2010-2011
2533,0,0,2010-2011
2540,4,4,2010-2011
2573,2,2,2010-2011
2579,2,2,2010-2011
2590,3,3,2010-2011
2593,3,3,2010-2011
2594,2,2,2010-2011
2597,1,4,2010-2011
2602,3,3,2010-2011
2607,3,3,2010-2011
2612,2,2,2010-2011
2613,3,3,2010-2011
2652,0,0,2010-2011
2653,3,3,2010-2011
2654,1,1,2010-2011
2656,4,4,2010-2011
2659,2,2,2010-2011
2664,2,3,2010-2011
2666,1,1,2010-2011
2667,1,1,2010-2011
2668,0,0,2010-2011
2669,2,2,2010-2011
2670,2,2,2010-2011
2673,1,0,2010-2011
2674,4,4,2010-2011
2676,4,2,2010-2011
2678,3,3,2010-2011
2681,3,3,2010-2011
2683,0,1,2010-2011
2685,2,2,2010-2011
2686,0,0,2010-2011
2687,0,0,2010-2011
2689,0,0,2010-2011
2692,2,2,2010-2011
2693,1,0,2010-2011
2694,0,1,2010-2011
2695,2,2,2010-2011
2698,0,2,2010-2011
2700,0,0,2010-2011
2702,2,2,2010-2011
2705,0,0,2010-2011
2708,0,0,2010-2011
2721,1,4,2010-2011
2722,4,0,2010-2011
2726,3,3,2010-2011
2730,3,3,2010-2011
2733,3,3,2010-2011
2734,3,3,2010-2011
2735,0,0,2010-2011
2736,0,0,2010-2011
2737,0,0,2010-2011
2742,0,0,2010-2011
2743,0,0,2010-2011
2747,0,0,2010-2011
2749,0,0,2010-2011
2750,0,1,2010-2011
2751,4,0,2010-2011
2752,0,0,2010-2011
2753,4,4,2010-2011
2760,0,0,2010-2011
2762,4,4,2010-2011
